tip_label,species,action
Tofieldia_calyculata_85290_PHA010061_AXZ_S,Tofieldia_calyculata,direct match
Thymus_pulegioides_751873_TROM_V_94025_BXA_CJC,Thymus_pulegioides,direct match
Thymus_praecox_jankae_1851455_CAR010060_BGN_MFP,Thymus_praecox,direct match
Thlaspi_rotundifolium_rotundifolium_1230357_PHA009206_BGN_BRV,Noccaea_rotundifolia,direct match
Thlaspi_praecox_473028_PHA009199_BGN_HTV,Noccaea_praecox,direct match
Thesium_rostratum_1534683_PHA009174_BGN_IHC,Thesium_rostratum,direct match
Thesium_pyrenaicum_pyrenaicum_1534682_PHA009172_BGN_GIS,Thesium_pyrenaicum,direct match
Thesium_bavarum_1534680_PHA009159_BGN_GVI,Thesium_bavarum,direct match
Thesium_alpinum_705353_PHA009155_BGN_AES,Thesium_alpinum,direct match
Thalictrum_minus_476039_TROM_V_157900_CDM_AWU,Thalictrum_minus,direct match
Thalictrum_aquilegiifolium_619227_PHA009126_BGN_CMR,Thalictrum_aquilegiifolium,direct match
Teucrium_montanum_1000430_PHA009107_BGN_BGP,Teucrium_montanum,direct match
Teucrium_chamaedrys_53176_PHA009098_BGN_FG,Teucrium_chamaedrys,direct match
Telekia_speciosissima_73992_PHA009070_BGN_HRT,Xerolekia_speciosissima,direct match
Tanacetum_corymbosum_corymbosum_1211617_PHA009022_BGN_BED,Tanacetum_corymbosum,direct match
Symphytum_tuberosum_angustifolium_1671110_PHA009005_BGN_PQC,Symphytum_tuberosum,direct match
Swertia_perennis_39379_PHA008990_BGN_GQ,Swertia_perennis,direct match
Succisa_pratensis_105906_TROM_V_175011_BXA_BEH,Succisa_pratensis,direct match
Streptopus_amplexifolius_134860_PHA008978_BGN_BRP,Streptopus_amplexifolius,direct match
Stemmacantha_rhapontica_rhapontica_1533341_PHA008954_BGN_HRH,Rhaponticum_scariosum,direct match
Polygala_amara_58884_PHA006893_BGN_LQI,Polygala_amara,direct match
Polygala_amarella_690759_PHA006895_BGN_LPR,Polygala_amarella,direct match
Stellaria_media_13274_TROM_V_148207_BMB_PS,Stellaria_media,direct match
Stellaria_longifolia_228247_TROM_V_202996_CDM_BAX,Stellaria_longifolia,direct match
Stellaria_graminea_271541_PHA008932_BGN_BRM,Stellaria_graminea,direct match
Stellaria_alsine_254021_PHA008929_BGN_LTI,Stellaria_alsine,direct match
Stachys_sylvatica_53175_TROM_V_87177_BXA_BEK,Stachys_sylvatica,direct match
Stachys_recta_subcrenata_1081577_PHA008917_BGN_HRD,Stachys_recta,direct match
Stachys_pradica_1000429_PHA008912_BGN_AKC,Betonica_hirsuta,direct match
Stachys_officinalis_officinalis_53173_PHA008903_RSZ_RSZAXPI000787-158,Betonica_officinalis,direct match
Stachys_alpina_694383_PHA008890_BGN_FEB,Stachys_alpina,direct match
Stachys_alopecuros_godronii_467599_PHA008889_BGN_LGP,Betonica_alopecuros,direct match
